date,open,high,low,close,volume,money
2/27/2013,100.01,100.05,100,100,1070,107000
2/28/2013,100.06,100.06,100,100.03,3450,345103.5
3/1/2013,100,100.07,100,100.04,2510,251100.4
3/4/2013,100.1,100.1,100.03,100.03,1940,194058.2
3/5/2013,100.1,100.1,100.09,100.09,1020,102091.8
3/6/2013,100.09,100.1,100.05,100.06,3340,334200.4
3/7/2013,100.09,100.1,100.09,100.1,780,78078
3/8/2013,100.1,100.1,100.08,100.08,1060,106084.8
3/11/2013,100.06,100.1,100.04,100.1,1910,191191
3/12/2013,100.1,100.1,100.05,100.07,1220,122085.4
3/13/2013,100.04,100.11,100.04,100.05,1010,101050.5
3/14/2013,100.05,100.05,100.04,100.04,1440,144057.6
3/15/2013,100.09,100.09,100.04,100.05,2120,212106
3/18/2013,100.04,100.06,100.03,100.03,3360,336100.8
3/19/2013,100.08,100.08,100,100,12010,1201000
3/20/2013,100.02,100.03,100,100.03,1400,140042
3/21/2013,100,100.05,100,100.05,1290,129064.5
3/22/2013,100.04,100.07,100.03,100.03,1760,176052.8
3/25/2013,100.08,100.08,100.05,100.05,440,44022
3/26/2013,100.01,100.06,100.01,100.06,40,4002.4
3/27/2013,100.06,100.06,100.01,100.05,910,91045.5
3/28/2013,100.01,100.07,100,100.07,3170,317221.9
3/29/2013,100.08,100.08,100.08,100.08,160,16012.8
4/1/2013,100.1,100.2,100.1,100.18,2050,205369
4/2/2013,100.23,100.3,100.23,100.3,750,75225
4/3/2013,100.24,100.44,100.24,100.37,540,54199.8
4/8/2013,100.37,100.44,100.23,100.38,6430,645443.4
4/9/2013,100.36,100.38,100.36,100.36,1150,115414
4/10/2013,100.45,100.45,100.45,100.45,570,57256.5
4/11/2013,100.41,100.47,100.41,100.46,2960,297361.6
4/12/2013,100.58,100.59,100.47,100.57,780,78444.6
4/16/2013,100.7,100.75,100.54,100.7,580,58406
4/17/2013,100.56,100.76,100.56,100.76,1000,100760
4/18/2013,100.58,100.88,100.52,100.53,650,65344.5
4/19/2013,100.42,100.58,100.42,100.47,480,48225.6
4/22/2013,100.41,100.5,100.41,100.42,250,25105
4/23/2013,100.46,100.46,100.45,100.45,1220,122549
4/24/2013,100.6,100.6,100.6,100.6,50,5030
4/26/2013,100.6,100.6,100.6,100.6,20,2012
5/2/2013,100.6,100.6,100.38,100.6,1340,134804
5/3/2013,100.85,100.85,100.7,100.72,660,66475.2
5/6/2013,100.56,100.63,100.56,100.63,110,11069.3
5/7/2013,100.63,100.63,100.6,100.6,850,85510
5/8/2013,100.6,100.79,100.6,100.6,1890,190134
5/9/2013,100.72,100.75,100.72,100.75,850,85637.5
5/10/2013,100.61,100.7,100.61,100.69,1680,169159.2
5/13/2013,100.67,100.79,100.65,100.79,380,38300.2
5/14/2013,100.8,100.8,100.8,100.8,490,49392
5/15/2013,100.7,100.75,100.7,100.73,1080,108788.4
5/16/2013,100.75,100.85,100.73,100.73,630,63459.9
5/17/2013,100.87,100.87,100.8,100.8,450,45360
5/20/2013,100.71,100.71,100.65,100.65,260,26169
5/21/2013,100.77,100.78,100.66,100.74,560,56414.4
5/22/2013,100.65,100.74,100.62,100.74,320,32236.8
5/23/2013,100.65,100.8,100.63,100.79,1900,191501
5/24/2013,100.66,100.66,100.61,100.65,3170,319060.5
5/27/2013,100.73,100.75,100.73,100.73,210,21153.3
5/28/2013,100.63,100.72,100.62,100.7,5130,516591
5/29/2013,100.69,100.7,100.65,100.65,1030,103669.5
5/30/2013,100.63,100.68,100.6,100.61,1120,112683.2
5/31/2013,100.61,100.62,100.61,100.62,170,17105.4
6/3/2013,100.53,100.66,100.53,100.66,140,14092.4
6/4/2013,100.52,100.52,100.4,100.42,830,83348.6
6/5/2013,100.41,100.41,100.3,100.4,1010,101404
6/6/2013,100.44,100.44,100.3,100.44,2450,246078
6/7/2013,100.31,100.4,100.1,100.26,870,87226.2
6/13/2013,100.22,100.33,100.22,100.28,600,60168
6/14/2013,100.21,100.21,100.1,100.1,1060,106106
6/17/2013,100.25,100.25,100.03,100.03,1930,193057.9
6/18/2013,100.03,100.06,100.03,100.06,1360,136081.6
6/19/2013,100.01,100.2,100,100.04,2060,206082.4
6/20/2013,100.01,100.01,99.88,99.88,2340,233719.2
6/21/2013,99.9,99.9,99.88,99.88,150,14982
6/24/2013,99.7,99.88,99.42,99.42,1080,107373.6
6/25/2013,99.31,99.32,99.1,99.31,1800,178758
6/26/2013,99.6,99.6,99.15,99.16,190,18840.4
6/27/2013,99.26,99.65,99.26,99.63,110,10959.3
6/28/2013,99.52,99.63,99.5,99.6,580,57768
7/1/2013,99.41,99.7,99.4,99.7,1280,127616
7/2/2013,99.7,99.95,99.7,99.95,520,51974
7/3/2013,99.81,99.95,99.75,99.9,1970,196803
7/4/2013,99.9,99.93,99.79,99.9,710,70929
7/5/2013,99.86,99.99,99.86,99.92,1400,139888
7/8/2013,99.78,99.95,99.78,99.81,850,84838.5
7/9/2013,99.71,100,99.71,100,5430,543000
7/10/2013,99.86,100.06,99.86,100.06,2140,214128.4
7/11/2013,99.83,99.89,99.83,99.89,1030,102886.7
7/12/2013,99.95,100,99.95,100,240,24000
7/16/2013,99.87,99.89,99.85,99.89,190,18979.1
7/17/2013,99.89,99.89,99.8,99.81,2790,278469.9
7/18/2013,99.8,99.83,99.8,99.82,730,72868.6
7/19/2013,99.87,99.94,99.87,99.92,280,27977.6
7/22/2013,99.94,99.95,99.81,99.85,360,35946
7/23/2013,99.81,99.81,99.8,99.8,16960,1692608
